2018 Social Accounting Matrix for Indonesia,Code,amaiz,arice,aocer,aoils,aroot,avege,asugr,atoba,acott,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,coils,croot,cvege,csugr,ctoba,ccott,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,dtax,etax,ftax,mtax,stax,s-i,dstk,row,total
Commodities - Maize,cmaiz,2049,,,,,,,,,,,8,55,157,21,,261,,37566,266,,,,,,,0,,,,,,1630,,,,,12,35,387,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,730,617,628,504,201,329,401,682,1239,,,,,,,1708,,1103,51436
Commodities - Rice,crice,,18359,,,,,,,,,,11,5,11,2,,276,,326672,,,,1817,,,,,,,,72,,,,,0,,9,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16756,,0,364122
Commodities - Other cereals,cocer,,,208,,,,,,,,,0,0,1,0,,0,,23339,,,,7,3,,,0,,,,,,36,,,,,,,101,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,3,24055
Commodities - Oilseeds,coils,,,,6180,,,,,,,,,1,3,0,,,,229527,69,,0,9389,,29,,268,,,3,58,,4480,,,,,66,,1016,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057,1417,1684,1792,1418,745,1053,1334,1969,2907,,,,,,,66893,,4863,338232
Commodities - Roots,croot,,,,,2382,,,,,,,0,51,73,12,,33,,17714,,,,0,,,,,,,,,,8762,,,,,74,,714,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4205,4686,4842,4827,3415,1200,2006,2592,3868,6052,,,,,,,806,,415,68736
Commodities - Vegetables,cvege,,,,,,5745,,,,3563,,,0,1,0,,,,18477,1,,,21,,,,,,,0,,,29101,,,,,366,140,5153,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13559,16660,18535,19284,13981,8226,13173,15204,22292,33633,,,,,,,,,345,237472
Commodities - Sugarcane,csugr,,,,,,,1222,,,,,,175,408,69,,,,15415,5,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,95,17735
Commodities - Tobacco,ctoba,,,,,,,,9,,,,,,,,,,,,11325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623,13957
Commodities - Cotton and fibres,ccott,,,,,,,,,1,,,,,,,,,,16,,16805,1827,130,,,,532,,,,,,50,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19446
Commodities - Fruits and nuts,cfrui,,,,,,,,,,3918,,,0,0,0,,,,12834,2958,,,318,248,1,,0,0,,1100,33,1464,13031,,,1,0,178,1374,10475,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10771,17297,22834,30283,32351,7147,15132,20488,39709,102263,,,,,,,53753,,1788,401781
"Commodities - Coffee, tea and cocoa",ccoff,,,,,,,,,,,3111,,,,,,,,58373,1351,,,706,,,,,,,,,,407,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27450,,15491,106890
Commodities - Other crops,cocrp,459,3833,116,11629,1381,613,48,146,0,1005,1689,6107,135,420,38,1741,11111,,9042,10923,768,3,61744,0,54,4,997,,,1213,1,,5183,,96,0,0,301,32,121,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988,1300,1583,1718,1286,667,1066,1268,1836,2729,,,,,,,26865,,60748,233486
Commodities - Cattle and raw milk,ccatt,3,33,2,118,6,79,0,2,0,896,37,154,283,0,0,2,3,,51611,4,1794,0,11,,,,,,,,,,383,,,,,0,,1576,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56233,,,113244
